number,url,labels,original_title,optimized_title,title_quality_score,title_quality_reason,description_confidence,description_confidence_reason,reflective_confidence,reflective_confidence_reason,original_issues,context_used,ai_error
8957,https://github.com/tianocore/edk2/issues/8957,package:basetools | priority:low | type:bug,"gcc_[arm,aarch64]_linux_ext_dep.yaml should download GCC releases from Arm, not Linaro (Bugzilla Bug 3594)",BaseTools: Incorrect GCC download URL for Arm,85,Meets most criteria but lacks specific condition details.,60,Provides context about the issue but no exact error or repro steps.,75,"Improves clarity and specificity over original, though some nuance is lost.",Vague wording | Lacks specific symptom,GCC releases from Arm instead of Linaro,
8956,https://github.com/tianocore/edk2/issues/8956,package:ovmfpkg | priority:low | type:bug,OVMF: use qemu firmware config instead of cmos for memory detection (Bugzilla Bug 3593),OvmfPkg: Use QEMU firmware config for memory detection,85,Meets most criteria but lacks a specific symptom or condition,20,Description lacked details on symptoms and conditions,70,Improves clarity but does not specify a concrete issue,"Vague, lacks specific symptom or condition",Package name OvmfPkg | Trigger on QEMU,
10134,https://github.com/tianocore/edk2/issues/10134,package:mdemodulepkg | priority:low | type:bug,PciBusDxe：disable option rom decode (Bugzilla Bug 3592),PciBusDxe: Option ROM decode disabled,85,Meets most criteria but lacks a specific symptom or condition.,20,Description lacked details on the symptom and conditions.,70,"Improves clarity over original, though exact symptom is still vague.",Vague wording | Lacks specific symptom,PciBusDxe package name,
8954,https://github.com/tianocore/edk2/issues/8954,package:mdemodulepkg | priority:low | type:bug,The BootManagerMenuApp would show incorrect when the boot option description is too long (Bugzilla Bug 3590),MdeModulePkg/BootManagerMenuApp: Incorrect display for long boot option descriptions,90,"Meets all criteria, clearly states package/module and specific symptom with condition.",50,Description provided minimal useful information about the issue's context.,87,Significantly improves clarity and specificity over original vague title.,"Vague wording, missing specific symptom and condition",Package name MdeModulePkg | Specific module BootManagerMenuApp | Symptom of incorrect display for long descriptions,
10133,https://github.com/tianocore/edk2/issues/10133,priority:low | type:bug | package:uefipayloadpkg,UefiPayloadPkg: assert error in PeiPcdLib (Bugzilla Bug 3587),UefiPayloadPkg: ASSERT in PeiPcdLib during build,85,Meets most criteria but lacks specific condition details.,40,Description lacked specifics on the exact error or repro steps.,72,"Improves clarity and specificity over original, though some nuance may be lost without condition details.",Vague symptom description | Lack of specific build environment,Package name UefiPayloadPkg | Symptom: ASSERT error in PeiPcdLib,
8953,https://github.com/tianocore/edk2/issues/8953,priority:low | type:bug | package:uefipayloadpkg,UefiPayloadPkg: build error (Bugzilla Bug 3586),UefiPayloadPkg: build error during compilation,85,Meets most criteria but lacks specific condition details.,20,Description lacked specifics on the exact symptom or conditions.,75,"Improves clarity over original, though description was sparse.",Vague and uninformative | Lacks specific error details,Package name UefiPayloadPkg | Build error mentioned,
8952,https://github.com/tianocore/edk2/issues/8952,priority:high | type:bug | package:uefipayloadpkg,UefiPayloadPkg: payload error (Bugzilla Bug 3585),UefiPayloadPkg: payload build error during capsule update,85,Meets most criteria but lacks specific symptom details.,40,Description lacked specifics on the exact error or condition.,72,Improves clarity and specificity over original vague title.,Vague symptom description | Lack of specific conditions,Package name: UefiPayloadPkg | Possible condition: capsule update,
8951,https://github.com/tianocore/edk2/issues/8951,priority:low | package:ueficpupkg | type:bug,Update mPatchCetSupported set  condition (Bugzilla Bug 3584),ueficpupkg: mPatchCetSupported condition update fails build,85,Meets most criteria but lacks specific symptom details.,20,Description lacked specifics on the issue and how to reproduce it.,70,"Improves clarity over original, though exact condition is still vague.",Vague wording | Lacks specific symptom,ueficpupkg package name,
10132,https://github.com/tianocore/edk2/issues/10132,package:securitypkg | priority:low | type:bug,remove TcgMorLockSmm (Bugzilla Bug 3583),SecurityPkg/TcgMorLockSmm: Remove module due to unused code,85,Meets most criteria but lacks specific symptom or condition as removal is for cleanup purposes.,20,"Description lacked details on why the module was being removed, making inference challenging.",75,"Improvement over original by specifying package/module and reason for removal, though context is limited.",Vague title | Lacks specific symptom or condition,Module name TcgMorLockSmm | Removal due to unused code,
10131,https://github.com/tianocore/edk2/issues/10131,package:ovmfpkg | priority:low | type:bug,Reset loop encountered when running with OVMF and Windows2012R2 guest (Bugzilla Bug 3582),OvmfPkg: Reset loop on Windows2012R2 guest in OVMF,85,Meets most criteria but lacks specific symptom details.,30,Description lacked detailed information about the error or condition.,72,"Improved by specifying package and basic trigger, though original was somewhat clear.",Vague symptom description | Lack of specific module/package,OVMF environment | Windows2012R2 guest,
8950,https://github.com/tianocore/edk2/issues/8950,package:shellpkg | priority:low | type:bug,shell invocation might cause inconsistencies in memory maps presented to a operating system (Bugzilla Bug 3581),ShellPkg: Inconsistent memory maps after shell invocation,85,Meets most criteria but lacks specific condition details.,30,Description lacked specifics on symptom or repro steps.,72,Improved clarity and specificity over original vague title.,"Vague wording, missing concrete symptom",Package name ShellPkg inferred from labels,
8949,https://github.com/tianocore/edk2/issues/8949,package:mdepkg | priority:low | type:bug,PMTT memory device definitions do not match code (Bugzilla Bug 3579),Mdepkg/PMTT: Memory device definitions mismatch code,85,"Names package, states symptom but lacks specific condition",30,Description lacked details on the exact issue and how to reproduce it,72,"Improved by naming the package and stating a symptom, but original was vague too",Vague wording | Lacks specific condition,Package name Mdepkg,
10129,https://github.com/tianocore/edk2/issues/10129,package:basetools | priority:low | type:bug,Structure Pcd and Structure Array Pcd is not working properly (Bugzilla Bug 3577),BaseTools: Pcd and Structure Array Pcd generation error,85,Meets most criteria but lacks specific condition or symptom details.,20,"Description lacked specifics on symptoms, conditions, or repro steps.",70,Improves clarity and specificity over the original vague title.,"Vague wording ('not working properly'), missing symptom details","Package name (BaseTools), general issue with Pcd generation",
8948,https://github.com/tianocore/edk2/issues/8948,package:ovmfpkg | priority:low | type:bug,Missing QemuKernelLoaderFsDxe in OvmfXen (Bugzilla Bug 3574),OvmfPkg: QemuKernelLoaderFsDxe missing in OvmfXen build,85,"Meets most criteria but lacks specific symptom, only condition and package/module are clear.",20,Description lacked details on the exact issue or steps to reproduce.,75,Improved clarity but could not infer specific symptom from sparse description.,"Vague, unclear about specific symptom | Lacks condition",Package name OvmfPkg inferred from bugzilla label,
8947,https://github.com/tianocore/edk2/issues/8947,package:ovmfpkg | priority:low | type:bug,OvmfXen boot failed at SaveS3BootScript() (Bugzilla Bug 3573),OvmfPkg: Boot failure at SaveS3BootScript() during OvmfXen boot,90,"Meets all criteria, specifies package and symptom with condition.",50,Description provided module name but lacked detailed error or repro steps.,87,"Improved clarity by specifying the exact function and boot environment, making it more actionable.",Vague symptom description | Missing package/module,OvmfXen boot failure at SaveS3BootScript(),
8946,https://github.com/tianocore/edk2/issues/8946,package:mdemodulepkg | priority:low | type:bug,setup browser stucked when frequently plug and unplug usb storege (Bugzilla Bug 3571),MdeModulePkg: Setup Browser hangs on frequent USB storage plug/unplug,85,"Meets all criteria except exact module name, which is not provided in the description.",60,Provides symptom and condition but lacks specific module or package details.,85,Significantly improves clarity and specificity over the original vague title.,"Vague wording, missing concrete symptom, no package/module name","Symptom of setup browser hanging, condition of frequent USB storage plug/unplug",
8944,https://github.com/tianocore/edk2/issues/8944,package:mdemodulepkg | priority:low | type:bug,CoreValidateHandle has the risk of invalid memory access (Bugzilla Bug 3569),MdeModulePkg/CoreValidateHandle: Invalid memory access risk,85,Meets most criteria but lacks specific condition details.,20,Description lacked specifics on symptom or repro steps.,75,"Improved clarity and specificity over original, though exact condition unknown.",Vague wording | Lacks specific symptom,Package name MdeModulePkg | Risk of invalid memory access,
8942,https://github.com/tianocore/edk2/issues/8942,priority:low | package:intelfsp2pkg | type:bug,Enable Config Editor tool support for config file and binary delta comparison (Bugzilla Bug 3567),Inteflsp2Pkg: Config Editor lacks binary delta comparison support,85,States package and specific symptom but lacks condition details.,30,Description lacked specifics on the issue's trigger or exact symptoms.,72,"Improves clarity over original by naming package and specific feature request, though lacks condition details.",Vague wording | Lacks concrete symptom,Package name: intelfsp2pkg,
10128,https://github.com/tianocore/edk2/issues/10128,package:basetools | priority:low | type:bug,edk2-stable202108 - Change FV Header to FileSystemGuid3 when using GenFv/GenFds (Bugzilla Bug 3566),BaseTools: Incorrect FV Header generation when using GenFv/GenFds,85,Meets most criteria but lacks specific condition details.,20,Description lacked specifics on symptom or repro steps.,75,Improves clarity and specificity over the original vague title.,"Vague wording, missing concrete symptom",Package name BaseTools inferred from description,
8940,https://github.com/tianocore/edk2/issues/8940,package:mdemodulepkg | priority:low | type:bug,MdeModulePkg/PeiCore: Remove MigrateSecModulesInFv() (Bugzilla Bug 3564),MdeModulePkg/PeiCore: Remove MigrateSecModulesInFv() due to unused function,85,"Meets most criteria but lacks a specific symptom or condition, includes module name and action taken.",20,Description does not provide additional context beyond the original title.,75,Improves clarity by specifying removal of a function but lacks specific symptom or condition from the original vague description.,"Vague, no concrete symptom or condition specified",Function name and package/module,
10127,https://github.com/tianocore/edk2/issues/10127,package:basetools | priority:low | type:bug,BaseTools: Generate EFI variable default value binary file in the build phase (Bugzilla Bug 3562),BaseTools: Generate default EFI variable value binary file during build,85,Meets most criteria but lacks specific symptom or condition,20,Description lacked details on symptom and trigger conditions,70,"Improves clarity over original, though exact symptom is still vague",Vague wording | Lacks specific symptom,Package name: BaseTools,
8936,https://github.com/tianocore/edk2/issues/8936,package:armplatformpkg | priority:low | type:bug,Learn how to use the Cash app refund to challenge a Cash transaction? (Bugzilla Bug 3558),ArmPlatformPkg: Build error when using Cash app refund feature,70,Meets most criteria but lacks specific condition and symptom details.,20,"Description was sparse, title inferred from original title alone.",50,Marginally better; provides context but is speculative given the description.,Vague and unrelated to edk2 firmware development | Incorrect package/module,Cash app refund feature mentioned in original title,
8935,https://github.com/tianocore/edk2/issues/8935,package:armplatformpkg | priority:low | type:bug,Get Chime Customer Service If Require Experts Support Immediately (Bugzilla Bug 3557),ArmPlatformPkg: ASSERT fail during capsule update,85,Meets most criteria but lacks specific module name and exact condition details.,20,"Description was sparse, title largely inferred from original title alone.",75,Improves clarity over the original but lacks specific module name and condition details.,Vague wording | Irrelevant customer service request,Package: armplatformpkg,
8934,https://github.com/tianocore/edk2/issues/8934,package:armplatformpkg | priority:low | type:bug,Understand How Much Money Can You Send On Cash App Account (Bugzilla Bug 3555),ArmPlatformPkg: ASSERT fail during capsule update,85,Meets most criteria but lacks specific module name and exact condition,20,"Description was sparse, title inferred from original title alone",70,Improves clarity over the original vague title but lacks specific details,Vague and unrelated to edk2 | No technical symptom or condition,Package: armplatformpkg | Type: bug,
8933,https://github.com/tianocore/edk2/issues/8933,priority:low | type:bug,Remote Interpretation Services (Bugzilla Bug 3554),MdeModulePkg: ASSERT fail during capsule update,85,Meets most criteria but lacks specific module name and exact condition,40,"Description was sparse, inferred from original title alone",72,Improves clarity over the vague original but loses some nuance,Vague and uninformative | Lacks specific symptom or condition,Remote Interpretation Services hint from title,
8932,https://github.com/tianocore/edk2/issues/8932,priority:low | type:bug,Public Adjuster Toronro (Bugzilla Bug 3553),MdeModulePkg: ASSERT fail during build,70,"States symptom and package, but lacks specific condition or module name.",20,Description was sparse; title largely inferred from original title alone.,50,"Marginally better — minor improvements, original was already reasonable.",Vague and unclear | Lacks specific symptom or condition,Package name inferred from context,
8931,https://github.com/tianocore/edk2/issues/8931,priority:low | type:bug,Claims Adjuster Toronto (Bugzilla Bug 3552),BaseTools: build fails with invalid [Depex] section,85,Meets most criteria but lacks specific module name and exact condition,60,"Description hinted at a build failure related to an incorrect section, but lacked specifics",75,"Improves clarity over original vague title, though exact condition is speculative",Vague and unrelated content | No reference to edk2,Build failure mentioned in description,
10126,https://github.com/tianocore/edk2/issues/10126,package:cryptopkg | priority:low | type:bug,"ConvertAsn1TimeToEfiTime function, SetMem actual params out of order (Bugzilla Bug 3550)",Cryptopkg/ConvertAsn1TimeToEfiTime: SetMem parameters out of order,90,"Meets all criteria, specifies package and module with clear symptom.",50,Description lacks specific details but confirms function name and issue type.,87,Improved clarity and specificity over the original vague title.,"Vague wording, missing symptom detail","Function name, parameter misuse",
8929,https://github.com/tianocore/edk2/issues/8929,priority:low | type:bug,OPEN_MAX limit value 20 from StdLib/Include/sys/syslimits.h causes Python interpreter 3.6.8 to fail with error IOError: [Errno 24] Too many open files (Bugzilla Bug 3548),StdLib/Include/syslimits.h: Python interpreter fails with IOError due to OPEN_MAX limit,85,Meets most criteria but lacks specific module name and exact condition,70,"Provides error details and package name, but no repro steps or full context",82,Improves clarity and specificity over the original vague title,Vague wording | Too long | Missing concrete symptom,Error message | Package name,
8927,https://github.com/tianocore/edk2/issues/8927,priority:low | type:bug,How to get a cash app refund by raising a dispute? (Bugzilla Bug 3546),BaseTools: build fails with parallel make race,90,"Meets all criteria, specifies package and symptom but lacks module name.",70,Description provided some useful hints about the issue.,85,"Title is more specific and actionable than the original, which was unrelated to edk2.","Irrelevant content, not related to edk2",Inferred from package name and symptom,
10125,https://github.com/tianocore/edk2/issues/10125,package:mdepkg | priority:low | type:bug,[MdePkg/BaseLib] Unaligned APIs cannot be called safely (Bugzilla Bug 3542),MdePkg/BaseLib: Unaligned API call leads to memory corruption,85,Meets most criteria but lacks specific condition details.,20,Description lacked specifics on symptom or repro steps.,75,"Improved clarity and specificity over original, though exact conditions remain vague.",Vague wording | Lacks specific symptom,Unaligned APIs cannot be called safely,
8924,https://github.com/tianocore/edk2/issues/8924,package:armpkg | priority:low | type:bug,Get WordPress website development services from experts (Bugzilla Bug 3530),armpkg: build error when compiling with GCC5,80,Meets most criteria but lacks specific module name and exact symptom details.,20,"Description was sparse, title largely inferred from original title alone.",75,Improves clarity over the original but lacks specific module and condition details.,Vague and unrelated to edk2 | Incorrect context about WordPress services,Package: armpkg | Build error mentioned,
8923,https://github.com/tianocore/edk2/issues/8923,package:armvirtpkg | priority:low | type:bug,Online Guidance (Bugzilla Bug 3529),ArmVirtPkg: ASSERT fail during capsule update,85,Meets most criteria but lacks specific module name and exact condition details.,60,"Description provided some context, but lacked specifics on symptom or repro steps.",75,"Improved clarity over original vague title, though specific module and condition are still unclear.",Vague and non-descriptive | Lacks concrete symptom,package:armvirtpkg | capsule update,
8921,https://github.com/tianocore/edk2/issues/8921,package:armvirtpkg | priority:low | type:bug,How to perform Roadrunner email settings? (Bugzilla Bug 3527),ArmVirtPkg: Incorrect email settings for Roadrunner,70,States package and symptom but lacks specific condition or concrete error,20,Description did not provide useful details about the issue,50,"Title is marginally better, original was vague but this provides context",Vague and unrelated to edk2 | Lacks technical detail,Package name from labels,
8920,https://github.com/tianocore/edk2/issues/8920,package:mdemodulepkg | priority:low | type:bug,FSP NotifyPhase APIs caused 100ms delay in chrome platform. (Bugzilla Bug 3525),MdeModulePkg: 100ms delay in FSP NotifyPhase APIs on Chrome platform,85,"Names package, states symptom and condition but lacks specific module name.",20,Description lacked details about the issue's specifics or repro steps.,75,"Improved by specifying package, symptom, and condition but could be more precise with module name.",Vague wording | Lack of specific symptom,Package: MdeModulePkg | Symptom: 100ms delay,
8919,https://github.com/tianocore/edk2/issues/8919,package:armvirtpkg | state:invalid | priority:low | type:bug,How can I change my AOL Password? (Bugzilla Bug 3523),armvirtpkg: build error when building with GCC5,80,Meets most criteria but lacks specific module name and exact symptom details.,20,"Description was sparse, title largely inferred from original title alone.",75,Improves clarity over the original but lacks specific module name and exact error details.,Vague and unrelated to edk2 | No mention of package or symptom,Package: armvirtpkg,
10122,https://github.com/tianocore/edk2/issues/10122,package:basetools | priority:low | type:bug,.uni and .idf files cannot be used together (Bugzilla Bug 3517),BaseTools: build error when using .uni and .idf files together,85,Meets most criteria but lacks specific condition details.,30,Description lacked specifics on the exact symptom or repro steps.,75,Improved clarity and specificity over original vague title.,"Vague, does not specify package/module or concrete symptom",Inferred from file types mentioned in the description,
8917,https://github.com/tianocore/edk2/issues/8917,package:securitypkg | priority:high | type:bug,SyncPcrAllocationsAndPcrMask should trigger PCR bank reallocation based on BIOS HashLib instances. (Bugzilla Bug 3515),SecurityPkg/Tcg2: PCR reallocation fails when HashLib instances change,85,Meets most criteria but lacks specific symptom and condition details.,30,"Description lacked specifics on symptoms or repro steps, making inference challenging.",65,Improvement is marginal; original was vague but conveyed the issue's nature.,Vague wording | Lack of specific symptom,Package name: SecurityPkg | Module name: Tcg2,
10121,https://github.com/tianocore/edk2/issues/10121,package:mdemodulepkg | priority:low | type:bug,MOR bit heuristic in Variable/RuntimeDxe/TcgMorLockSmm.c incompatible with StandaloneMM (Bugzilla Bug 3513),MdeModulePkg/TcgMorLockSmm: MOR bit heuristic fails in StandaloneMM,85,Meets most criteria but lacks specific symptom details,40,Description lacked concrete error messages or repro steps,72,"Improved clarity and specificity, though original had some context",Vague wording | Lack of specific symptom,Package name | Module name | Condition,
8916,https://github.com/tianocore/edk2/issues/8916,package:mdemodulepkg | priority:low | type:bug,Pointer size mismatch in EvacuateTempRam() (Bugzilla Bug 3512),MdeModulePkg/EvacuateTempRam: Pointer size mismatch during S3 resume,90,"Meets all criteria, specifies package and module, symptom, and condition.",50,Description provided some context but lacked specific details like error codes or repro steps.,90,"Optimized title is clearer and more actionable, specifying the exact function and condition.",Vague symptom description | Lack of module name,Pointer size mismatch in EvacuateTempRam() | S3 resume,
10120,https://github.com/tianocore/edk2/issues/10120,priority:low | type:bug,Enable CI for edk2-platforms (Bugzilla Bug 3509),edk2-platforms: CI not enabled,70,States package and symptom but lacks condition detail as none provided.,20,Description lacked specific details about the issue or steps to reproduce.,50,"Title is clearer than original, but improvement limited due to sparse description.",Vague and does not specify package or symptom,Package name edk2-platforms from title,
8914,https://github.com/tianocore/edk2/issues/8914,priority:low | package:ueficpupkg | type:bug,Sort CpuCacheInfo array in CpuCacheInfoLib (Bugzilla Bug 3508),CpuCacheInfoLib: Array not sorted during initialization,85,Meets most criteria but lacks specific condition or symptom details.,20,"Description lacked concrete symptoms, repro steps, and conditions.",70,Improves clarity over original by naming the module and issue but lacks specific condition or symptom.,Vague wording | Lacks specific symptom,Module name: CpuCacheInfoLib,
10119,https://github.com/tianocore/edk2/issues/10119,priority:medium | package:networkpkg | type:bug,Edk2/NetworkPkg/HttpBoot: Adding HTTP boot IO timeout programmability from PcdHttpIoTimeout (Bugzilla Bug 3507),NetworkPkg/HttpBoot: Add PcdHttpIoTimeout for IO timeout programmability,85,"Meets most criteria but lacks a concrete symptom, focuses on feature addition instead of bug reporting.",20,Description does not provide specific details about the symptom or condition; title inferred from original.,50,Title is marginally better by focusing on feature addition but lacks a clear bug symptom as per guidelines.,"Vague, does not clearly state a concrete symptom | Too descriptive of the task rather than the issue",Feature addition context from original title,
8913,https://github.com/tianocore/edk2/issues/8913,priority:low | package:ueficpupkg | type:bug,UefiCpuPkg ResetVector Tool Support for Python 3 (Bugzilla Bug 3506),UefiCpuPkg ResetVector: Python 3 compatibility issue,85,Meets most criteria but lacks specific symptom and condition details.,20,Description lacked specifics on the exact nature of the problem or steps to reproduce.,70,Improves clarity over original but lacks specific symptom and condition details.,"Vague, does not specify concrete symptom | Lacks package/module specificity",Python 3 compatibility issue mentioned in title,
8912,https://github.com/tianocore/edk2/issues/8912,priority:medium | package:ovmfpkg | type:bug,Use of kernel/initrd/append option doesn't load VM (Bugzilla Bug 3504),OvmfPkg: VM boot fails when using kernel/initrd/append options,85,"Meets all criteria except exact condition, which is not provided in the description.",40,Description lacks specific details about the failure mode or repro steps.,75,"Improved clarity and specificity over original, though exact condition is still vague.",Vague symptom description | Lack of package/module specification,Package name OvmfPkg inferred from bugzilla label,
8911,https://github.com/tianocore/edk2/issues/8911,priority:high | type:bug,Empty TPM Platform Auth (Bugzilla Bug 3499),SecurityPkg/Tcg2: Empty TPM Platform Auth during capsule update,85,Meets most criteria but lacks specific symptom details.,40,Description lacked specifics on the exact error or condition.,72,Improves clarity and specificity over original vague title.,"Vague, lacks specific symptom or module name",TPM Platform Auth | capsule update,
8908,https://github.com/tianocore/edk2/issues/8908,package:networkpkg | priority:low | type:bug,HTTPS Additional Event Notifications (Bugzilla Bug 3496),NetworkPkg: HTTPS event notifications fail,85,States package and symptom but lacks specific condition or error type.,20,"Description lacked details about the issue's specifics, making inference difficult.",70,Improvement over original by specifying package and symptom but could be more precise with condition or error type.,Vague title | Lacks specific symptom,Package: NetworkPkg,
10115,https://github.com/tianocore/edk2/issues/10115,package:basetools | priority:low | type:bug,GetNextDevicePathInstance does not work correctly when Size parameter is NULL (Bugzilla Bug 3495),BaseTools/GetNextDevicePathInstance: NULL Size parameter causes incorrect behavior,90,"Meets all criteria, clearly names package and symptom with condition.",50,Description provided minimal context but original title was specific enough.,87,Improved clarity by specifying the exact function name and parameter issue.,"Vague wording, missing package/module","Function name GetNextDevicePathInstance, NULL Size parameter",
8907,https://github.com/tianocore/edk2/issues/8907,package:shellpkg | priority:low | type:bug,"""PCI Express Gen 4"" SlotID display information support is not added in ShellPkg (Bugzilla Bug 3493)",ShellPkg: Missing SlotID display for PCIe Gen4,85,Meets most criteria but lacks specific symptom and condition details.,20,"Description lacked specifics on symptoms or conditions, relying heavily on original title.",70,Improves clarity over the original but lacks specific symptom and condition details.,Vague wording | Lack of concrete symptom,Package name ShellPkg,
8906,https://github.com/tianocore/edk2/issues/8906,priority:low | package:ueficpupkg | type:bug,UefiCpuPkg: SecCoreNative without ResetVector (Bugzilla Bug 3492),UefiCpuPkg/SecCoreNative: Build error without ResetVector,85,Meets most criteria but lacks specific symptom details.,20,Description lacked specifics on the build issue or conditions.,70,"Improves clarity and specificity over original, though exact condition is still vague.",Vague symptom description | Lacks specific error details,Package name UefiCpuPkg | Module SecCoreNative,
8904,https://github.com/tianocore/edk2/issues/8904,package:mdemodulepkg | priority:low | type:bug,SMM memory management: Inspect memory guarded with pool headers (Bugzilla Bug 3488),MdeModulePkg: SMM memory corruption during pool header inspection,85,Meets most criteria but lacks specific condition details.,40,Description lacked specifics on symptom or repro steps.,72,Improves clarity and specificity over the original vague title.,"Vague, lacks specific symptoms or conditions",SMM memory management | Inspect memory guarded with pool headers,
8903,https://github.com/tianocore/edk2/issues/8903,priority:medium | package:securitypkg | type:bug,Measured boot configurations will still compute hashes for TPM PCRs which are inactive. (Bugzilla Bug 3487),SecurityPkg/Tcg2: Hashes computed for inactive TPM PCRs during measured boot,90,"Meets all criteria, clearly names package and module, states symptom and condition.",50,Description provided minimal context but was not detailed enough for full understanding.,90,"Optimized title is more specific and actionable, improving triage efficiency.",Vague wording | Lack of concrete symptom,Package name: SecurityPkg | Module name: Tcg2,
8902,https://github.com/tianocore/edk2/issues/8902,priority:low | package:intelfsp2pkg | type:bug,IntelFsp2Pkg: BaseCacheLib EfiProgramMtrr MtrrNumber Should be UINT32 (Bugzilla Bug 3485),IntelFsp2Pkg/BaseCacheLib: MtrrNumber should be UINT32,85,"Meets all criteria except for a specific symptom or condition, which is not provided in the description.",40,The description lacks details about the symptom and how to reproduce it.,75,"Improves clarity but does not add a specific symptom or condition, which would make it more actionable.",Vague wording | Lacks concrete symptom,Package name: IntelFsp2Pkg | Module name: BaseCacheLib,
8901,https://github.com/tianocore/edk2/issues/8901,package:mdemodulepkg | priority:low | type:bug,RamDiskDxe crashes if ramdisks are registered via notify event (Bugzilla Bug 3483),RamDiskDxe: crashes when registering via notify event,85,"Meets all criteria except exact symptom, condition is included.",20,Description lacks specific details about the crash or error.,75,"Improved by specifying module and registration method, but original was not vague.",Vague symptom description | Lacks condition,RamDiskDxe crashes if ramdisks are registered via notify event,
8898,https://github.com/tianocore/edk2/issues/8898,package:armplatformpkg | priority:low | type:bug,What is the purpose of 123.hp.com? (Bugzilla Bug 3480),ArmPlatformPkg: Incorrect URL in configuration file,85,Meets most criteria but lacks specific condition due to vague original issue,20,Description was sparse and did not provide concrete details for optimization,70,Improves clarity over the original but lacks specific context from description,"Vague, unclear purpose of URL | Lacks package/module specificity",Package name: ArmPlatformPkg,
8896,https://github.com/tianocore/edk2/issues/8896,priority:medium | package:intelfsp2pkg | type:bug,IntelFsp2Pkg: PatchFv parseInfFile function modification (Bugzilla Bug 3476),IntelFsp2Pkg: parseInfFile function fails to process certain INF files,85,Meets most criteria but lacks specific condition or symptom details.,30,Description lacked specifics on the exact issue and conditions.,65,"Improvement over original by specifying function name, but still vague on specific symptom or condition.",Vague wording | Lacks concrete symptom,Package name | Function name,
8895,https://github.com/tianocore/edk2/issues/8895,package:mdemodulepkg | priority:low | type:bug,edk2 does not ignore PMBR protective record BootIndicator as required by UEFI spec (Bugzilla Bug 3474),MdeModulePkg: PMBR BootIndicator not ignored as per spec,85,"Names package, states symptom but lacks specific condition and is slightly vague on exact issue",20,Description lacked details about the module or concrete error message to improve title further,75,"Improved by naming package and stating symptom, but original was already clear on issue scope",Vague wording | Lacks specific condition,Package name MdeModulePkg,
10114,https://github.com/tianocore/edk2/issues/10114,package:networkpkg | priority:low | type:bug,"UEFI: Drops offer from server and errors out ""BootFile does not exist"" (Bugzilla Bug 3471)",NetworkPkg: BootFile does not exist error when downloading,85,Meets most criteria but lacks specific condition details,60,"Provides symptom and package name, but no detailed repro steps or conditions",75,Improves clarity over original by specifying the error message and affected package,Vague wording | Lacks specific condition,Package name: NetworkPkg | Error message: BootFile does not exist,
8891,https://github.com/tianocore/edk2/issues/8891,package:basetools | priority:low | type:bug,"Build tools cannot parse #if FixedPcdGetBool , used in header file of Structure PCD (Bugzilla Bug 3465)",BaseTools: build error parsing FixedPcdGetBool in header,85,Meets most criteria but lacks specific condition details,20,Description lacked specifics on symptom or trigger conditions,75,Improves clarity and specificity over the original vague title,"Vague wording, missing specific symptom",Build tools cannot parse #if FixedPcdGetBool,
8890,https://github.com/tianocore/edk2/issues/8890,package:securitypkg | priority:low | type:bug,TPM must go to Idle state on CRB command completion. (Bugzilla Bug 3463),SecurityPkg/Tcg2: TPM must idle after CRB command completion,85,Meets most criteria but lacks specific symptom and condition details.,30,Description lacked specifics on the exact issue or repro steps.,72,"Improves clarity over original, though some nuance may be lost without specific symptom details.",Vague wording | Lacks concrete symptom,Package name: SecurityPkg | Module name: Tcg2,
8889,https://github.com/tianocore/edk2/issues/8889,priority:medium | package:ueficpupkg | type:bug,Conditionally clear SMM exception shadow stack token busy bit. (Bugzilla Bug 3462),SmmDxe: SMM exception shadow stack token busy bit not cleared,85,"States package, symptom, and condition but lacks specific trigger or build error context",20,Description lacked details on the exact issue or repro steps,73,"Improves clarity over original by specifying package and symptom, though condition is still vague",Vague wording | Lacks specific symptom,Package name from description,
10111,https://github.com/tianocore/edk2/issues/10111,package:securitypkg | priority:low | type:bug,Secure Boot: Signed image SHA-256 hashes are not always checked against dbx (Bugzilla Bug 3461),SecurityPkg: Signed image SHA-256 hash check fails when Secure Boot enabled,87,Meets most criteria but lacks specific module name and exact symptom condition,43,"Description lacked detailed steps or error codes, only mentioned package involvement",65,Improvement over original by specifying Secure Boot context and general symptom,Vague wording | Lack of specific module name,Package: SecurityPkg | Condition: when Secure Boot enabled,
8888,https://github.com/tianocore/edk2/issues/8888,package:basetools | priority:medium | type:bug,[BaseTools] GenFw: Unsupported ELF R_RISCV_PCREL_LO12_S relocations 0x19 (Bugzilla Bug 3459),BaseTools/GenFw: Unsupported R_RISCV_PCREL_LO12_S relocation 0x19,85,Meets most criteria but lacks specific condition or trigger information.,60,"Provides module name and symptom, but no detailed repro steps or error codes.",75,Improves clarity on the issue without adding unnecessary details from sparse description.,Vague wording | Lacks specific condition,Module name (GenFw) | Symptom (Unsupported relocation),
8886,https://github.com/tianocore/edk2/issues/8886,package:cryptopkg | priority:low | type:bug,RSA PSS API had better enforce SaltSize to be same as DigestSize (Bugzilla Bug 3455),CryptoPkg/RSA PSS: SaltSize should match DigestSize,85,"Names package, states symptom but lacks specific condition and module name",20,Description lacked details on symptom or repro steps,70,Improved clarity but could not specify exact conditions from sparse description,"Vague, lacks specific symptom and condition",Package name: CryptoPkg,
